system:index,class,strata,.geo
1_1_2_25,6,6,"{""type"":""Point"",""coordinates"":[177.94759033446928,-17.885859778680373]}"
1_1_2_26,6,6,"{""type"":""Point"",""coordinates"":[177.9437284824697,-17.794953024706274]}"
1_1_2_27,6,6,"{""type"":""Point"",""coordinates"":[177.91848238582259,-17.79315515037929]}"
1_1_2_28,6,6,"{""type"":""Point"",""coordinates"":[177.90420275330854,-17.778244894567877]}"
1_1_2_29,6,6,"{""type"":""Point"",""coordinates"":[177.88992061539466,-17.752111755270338]}"
1_1_2_30,6,6,"{""type"":""Point"",""coordinates"":[177.78257207254364,-17.69245353839679]}"
1_1_2_31,6,6,"{""type"":""Point"",""coordinates"":[177.8187686701662,-17.646808421138967]}"
1_1_2_32,6,6,"{""type"":""Point"",""coordinates"":[177.83053348990916,-17.62894409414215]}"
1_1_2_33,6,6,"{""type"":""Point"",""coordinates"":[177.8573111491686,-17.600018015635268]}"
1_1_2_34,6,6,"{""type"":""Point"",""coordinates"":[177.85931092870953,-17.603201963164587]}"
1_1_2_35,6,6,"{""type"":""Point"",""coordinates"":[177.89485689432877,-17.648256493079074]}"
1_1_2_36,6,6,"{""type"":""Point"",""coordinates"":[177.89809551540895,-17.64133938147774]}"
1_1_2_37,6,6,"{""type"":""Point"",""coordinates"":[177.8974050796743,-17.68735201528013]}"
1_1_2_38,6,6,"{""type"":""Point"",""coordinates"":[177.91003848406768,-17.70269079787755]}"
1_1_2_39,6,6,"{""type"":""Point"",""coordinates"":[177.89953336576218,-17.727307026016394]}"
1_1_2_40,6,6,"{""type"":""Point"",""coordinates"":[177.8491275765149,-17.52222789566548]}"
1_1_2_41,6,6,"{""type"":""Point"",""coordinates"":[177.85245750661954,-17.56220547347091]}"
1_1_2_42,6,6,"{""type"":""Point"",""coordinates"":[177.87868532132313,-17.564446653160235]}"
1_1_2_43,6,6,"{""type"":""Point"",""coordinates"":[177.91578309928423,-17.52240069340787]}"
1_1_2_44,6,6,"{""type"":""Point"",""coordinates"":[178.07047337974393,-17.422420313762906]}"
1_1_2_45,6,6,"{""type"":""Point"",""coordinates"":[178.1818742355312,-17.411005701447092]}"
1_1_2_46,6,6,"{""type"":""Point"",""coordinates"":[178.15671291460433,-17.50326669278849]}"
1_1_2_47,6,6,"{""type"":""Point"",""coordinates"":[178.24142531430573,-17.57441207011164]}"
1_1_2_48,6,6,"{""type"":""Point"",""coordinates"":[178.536701787354,-17.997704822768178]}"
1_1_2_49,6,6,"{""type"":""Point"",""coordinates"":[178.57955252165544,-17.9329313542541]}"
1_1_2_50,6,6,"{""type"":""Point"",""coordinates"":[178.74196764027533,-17.767190313381743]}"
1_1_2_51,6,6,"{""type"":""Point"",""coordinates"":[178.0811736819675,-19.07702376139322]}"
1_1_2_52,6,6,"{""type"":""Point"",""coordinates"":[178.08952114924125,-19.079008317754518]}"
1_1_2_53,6,6,"{""type"":""Point"",""coordinates"":[178.14072245042075,-19.04674970763568]}"
1_1_2_54,6,6,"{""type"":""Point"",""coordinates"":[178.209628234207,-18.97623565772688]}"
1_1_2_55,6,6,"{""type"":""Point"",""coordinates"":[-179.81715777474864,-18.95224869965165]}"
1_1_2_56,6,6,"{""type"":""Point"",""coordinates"":[179.25758932285945,-17.967524847763723]}"
1_1_2_57,6,6,"{""type"":""Point"",""coordinates"":[179.4174122383488,-17.832409431158393]}"
1_1_2_58,6,6,"{""type"":""Point"",""coordinates"":[-179.3113248938866,-17.755424817309105]}"
1_1_2_59,6,6,"{""type"":""Point"",""coordinates"":[-178.94372767218618,-17.21994890614525]}"
1_1_2_60,6,6,"{""type"":""Point"",""coordinates"":[179.62033948413932,-16.733954429061395]}"
1_1_2_61,6,6,"{""type"":""Point"",""coordinates"":[179.35488824834056,-16.77499964744162]}"
1_1_2_62,6,6,"{""type"":""Point"",""coordinates"":[178.81376386613653,-16.666561490375166]}"
1_1_2_63,6,6,"{""type"":""Point"",""coordinates"":[178.92845952356674,-16.503977693328178]}"
1_1_2_64,6,6,"{""type"":""Point"",""coordinates"":[178.9701479493091,-16.54413721478034]}"
1_1_2_65,6,6,"{""type"":""Point"",""coordinates"":[179.35857274078688,-16.56488931905872]}"
1_1_2_66,6,6,"{""type"":""Point"",""coordinates"":[179.53914394110103,-16.610692234079448]}"
1_1_2_67,6,6,"{""type"":""Point"",""coordinates"":[179.65780258963355,-16.301772340464638]}"
1_1_2_68,6,6,"{""type"":""Point"",""coordinates"":[179.79272582722604,-16.230624082313962]}"
1_1_2_69,6,6,"{""type"":""Point"",""coordinates"":[179.03509007947014,-16.800877129783633]}"
1_2_0,7,6,"{""type"":""Point"",""coordinates"":[177.56751346975548,-18.036059909674456]}"
1_2_1,7,6,"{""type"":""Point"",""coordinates"":[177.34895129577808,-17.986469212811585]}"
1_2_2,7,6,"{""type"":""Point"",""coordinates"":[177.36512076538656,-17.994109088348573]}"
1_2_3,7,6,"{""type"":""Point"",""coordinates"":[177.51657395487985,-17.943533156722218]}"
1_2_4,7,6,"{""type"":""Point"",""coordinates"":[177.53777649497377,-17.93554289971482]}"
1_2_5,7,6,"{""type"":""Point"",""coordinates"":[177.60972771409092,-17.969226223528665]}"
1_2_6,7,6,"{""type"":""Point"",""coordinates"":[177.9272887876316,-17.89385617037383]}"
1_2_7,7,6,"{""type"":""Point"",""coordinates"":[177.7866055973692,-17.518359277091253]}"
1_2_8,7,6,"{""type"":""Point"",""coordinates"":[177.9604386000725,-17.49285878639293]}"
1_2_9,7,6,"{""type"":""Point"",""coordinates"":[178.31751499234178,-18.94524264307235]}"
1_2_10,7,6,"{""type"":""Point"",""coordinates"":[178.9040304855372,-16.60909004710262]}"
1_2_11,7,6,"{""type"":""Point"",""coordinates"":[177.3138294251881,-17.021681389341964]}"
1_2_12,7,6,"{""type"":""Point"",""coordinates"":[179.99062066166567,-16.163155911476675]}"
1_2_13,7,6,"{""type"":""Point"",""coordinates"":[177.48234961677736,-17.970391932363672]}"
1_2_14,7,6,"{""type"":""Point"",""coordinates"":[179.10426376690452,-16.5866278523877]}"
2_0,8,6,"{""type"":""Point"",""coordinates"":[178.0060691490919,-18.189756561044582]}"
2_1,8,6,"{""type"":""Point"",""coordinates"":[178.02969320474995,-17.896376107361252]}"
2_2,8,6,"{""type"":""Point"",""coordinates"":[178.99035459770215,-16.766201181590787]}"
2_3,8,6,"{""type"":""Point"",""coordinates"":[178.9828073319514,-16.72865905091731]}"
