system:index,class,strata,.geo
1_1_1_2_26,5,5,"{""type"":""Point"",""coordinates"":[178.1318263865126,-17.595439916129855]}"
1_1_1_2_27,5,5,"{""type"":""Point"",""coordinates"":[178.14422052371387,-17.530119540478232]}"
1_1_1_2_28,5,5,"{""type"":""Point"",""coordinates"":[178.190426982388,-17.390642362430558]}"
1_1_1_2_29,5,5,"{""type"":""Point"",""coordinates"":[178.25474682712286,-17.519734000154404]}"
1_1_1_2_30,5,5,"{""type"":""Point"",""coordinates"":[178.6237707170224,-16.79702075003416]}"
1_1_1_2_31,5,5,"{""type"":""Point"",""coordinates"":[178.7173597805704,-16.661193583074517]}"
1_1_1_2_32,5,5,"{""type"":""Point"",""coordinates"":[178.8670203128661,-16.575492732044257]}"
1_1_1_2_33,5,5,"{""type"":""Point"",""coordinates"":[178.99942700270444,-16.609720671843878]}"
1_1_1_2_34,5,5,"{""type"":""Point"",""coordinates"":[179.01290352447933,-16.597700252852835]}"
1_1_1_2_35,5,5,"{""type"":""Point"",""coordinates"":[179.02451027778886,-16.575230631726026]}"
1_1_1_2_36,5,5,"{""type"":""Point"",""coordinates"":[179.07704348876206,-16.56579243038443]}"
1_1_1_2_37,5,5,"{""type"":""Point"",""coordinates"":[179.04614556225454,-16.530215245500095]}"
1_1_1_2_38,5,5,"{""type"":""Point"",""coordinates"":[179.08190306680763,-16.525025025104554]}"
1_1_1_2_39,5,5,"{""type"":""Point"",""coordinates"":[179.0832230658134,-16.535301518353513]}"
1_1_1_2_40,5,5,"{""type"":""Point"",""coordinates"":[179.0960106801026,-16.548266768383744]}"
1_1_1_2_41,5,5,"{""type"":""Point"",""coordinates"":[179.1701933736848,-16.474069296903266]}"
1_1_1_2_42,5,5,"{""type"":""Point"",""coordinates"":[179.17774636642264,-16.468051551552097]}"
1_1_1_2_43,5,5,"{""type"":""Point"",""coordinates"":[179.2241664857513,-16.471000195601764]}"
1_1_1_2_44,5,5,"{""type"":""Point"",""coordinates"":[179.2429614474367,-16.456836859073814]}"
1_1_1_2_45,5,5,"{""type"":""Point"",""coordinates"":[179.36440708597036,-16.506587131975877]}"
1_1_1_2_46,5,5,"{""type"":""Point"",""coordinates"":[179.39684378496213,-16.546197537340948]}"
1_1_1_2_47,5,5,"{""type"":""Point"",""coordinates"":[179.4534418933696,-16.6468205174589]}"
1_1_1_2_48,5,5,"{""type"":""Point"",""coordinates"":[179.47840885195455,-16.739613826220094]}"
1_1_1_2_49,5,5,"{""type"":""Point"",""coordinates"":[-179.91337034250446,-15.745264299047037]}"
1_1_1_2_50,5,5,"{""type"":""Point"",""coordinates"":[177.3571253510048,-17.920725678389974]}"
1_1_1_2_51,5,5,"{""type"":""Point"",""coordinates"":[178.59895429602955,-18.011359761197475]}"
1_1_1_2_52,5,5,"{""type"":""Point"",""coordinates"":[178.59176454366872,-17.84534121753285]}"
1_1_1_2_53,5,5,"{""type"":""Point"",""coordinates"":[178.72757011966524,-16.667767891324857]}"
1_1_1_2_54,5,5,"{""type"":""Point"",""coordinates"":[179.49942581386495,-16.662177198347386]}"
1_1_2_0,6,5,"{""type"":""Point"",""coordinates"":[178.62491762297861,-18.042975923484832]}"
1_1_2_1,6,5,"{""type"":""Point"",""coordinates"":[178.80297671998017,-17.624532884934613]}"
1_1_2_2,6,5,"{""type"":""Point"",""coordinates"":[178.4626794681655,-17.79657015998451]}"
1_1_2_3,6,5,"{""type"":""Point"",""coordinates"":[177.468333887932,-18.134698113747124]}"
1_1_2_4,6,5,"{""type"":""Point"",""coordinates"":[177.3780292125594,-17.905790013569963]}"
1_1_2_5,6,5,"{""type"":""Point"",""coordinates"":[177.6975079379405,-17.92936042921399]}"
1_1_2_6,6,5,"{""type"":""Point"",""coordinates"":[177.94884650414872,-17.431044469672678]}"
1_1_2_7,6,5,"{""type"":""Point"",""coordinates"":[178.27142086245163,-17.45027605324953]}"
1_1_2_8,6,5,"{""type"":""Point"",""coordinates"":[178.57892917608905,-16.587714250899435]}"
1_1_2_9,6,5,"{""type"":""Point"",""coordinates"":[178.82095951451493,-16.66706845560702]}"
1_1_2_10,6,5,"{""type"":""Point"",""coordinates"":[178.8017064276154,-16.709428552513078]}"
1_1_2_11,6,5,"{""type"":""Point"",""coordinates"":[177.40257901525445,-16.907592806320512]}"
1_1_2_12,6,5,"{""type"":""Point"",""coordinates"":[-179.84950411033088,-16.805996219846314]}"
1_1_2_13,6,5,"{""type"":""Point"",""coordinates"":[-178.99080393763546,-17.28327971033517]}"
1_1_2_14,6,5,"{""type"":""Point"",""coordinates"":[177.2643331487265,-17.97021167967874]}"
1_1_2_15,6,5,"{""type"":""Point"",""coordinates"":[178.6127108597596,-16.692805474934485]}"
1_1_2_16,6,5,"{""type"":""Point"",""coordinates"":[178.77053474337555,-16.63720905978915]}"
1_1_2_17,6,5,"{""type"":""Point"",""coordinates"":[178.7815903438318,-16.68013694994747]}"
1_2_0,7,5,"{""type"":""Point"",""coordinates"":[178.4386969561159,-18.961147053375143]}"
1_2_1,7,5,"{""type"":""Point"",""coordinates"":[178.5253843330767,-17.863401811285886]}"
1_2_2,7,5,"{""type"":""Point"",""coordinates"":[178.54020889764354,-17.82935634846996]}"
1_2_3,7,5,"{""type"":""Point"",""coordinates"":[178.33934908069887,-17.80168913338492]}"
1_2_4,7,5,"{""type"":""Point"",""coordinates"":[178.11916386792737,-18.196680473966186]}"
1_2_5,7,5,"{""type"":""Point"",""coordinates"":[177.41857286775883,-18.044233194965337]}"
1_2_6,7,5,"{""type"":""Point"",""coordinates"":[177.53903523164104,-17.794416399034482]}"
1_2_7,7,5,"{""type"":""Point"",""coordinates"":[177.525377970278,-17.785068794109524]}"
1_2_8,7,5,"{""type"":""Point"",""coordinates"":[177.57469453684791,-17.786057073186132]}"
1_2_9,7,5,"{""type"":""Point"",""coordinates"":[179.05215479675377,-16.615466562449956]}"
1_2_10,7,5,"{""type"":""Point"",""coordinates"":[179.34536674126701,-16.7310762137637]}"
1_2_11,7,5,"{""type"":""Point"",""coordinates"":[179.70379727990485,-16.20799036326693]}"
1_2_12,7,5,"{""type"":""Point"",""coordinates"":[179.8073752919635,-16.213826500450875]}"
1_2_13,7,5,"{""type"":""Point"",""coordinates"":[178.7590352626611,-16.939839645356148]}"
1_2_14,7,5,"{""type"":""Point"",""coordinates"":[177.311490815796,-18.08789206622366]}"
1_2_15,7,5,"{""type"":""Point"",""coordinates"":[178.3419446891154,-17.509377076843975]}"
1_2_16,7,5,"{""type"":""Point"",""coordinates"":[178.84986302641482,-16.657415342570133]}"
2_0,8,5,"{""type"":""Point"",""coordinates"":[177.77169837525298,-17.432123935001268]}"
2_1,8,5,"{""type"":""Point"",""coordinates"":[177.89835427892967,-17.444972202022168]}"
2_2,8,5,"{""type"":""Point"",""coordinates"":[178.97948140376633,-16.640348366084876]}"
2_3,8,5,"{""type"":""Point"",""coordinates"":[178.8444691465345,-16.646279781477336]}"
2_4,8,5,"{""type"":""Point"",""coordinates"":[178.93070345121225,-16.475145510143534]}"
2_5,8,5,"{""type"":""Point"",""coordinates"":[179.691939411458,-16.280839635772324]}"
2_6,8,5,"{""type"":""Point"",""coordinates"":[179.90195323444823,-16.960336228840017]}"
2_7,8,5,"{""type"":""Point"",""coordinates"":[178.35416472991108,-17.929345444486067]}"
2_8,8,5,"{""type"":""Point"",""coordinates"":[179.13552586295032,-16.519611173880286]}"
